127.0.0.1 - - [19/Mar/2019:15:00:36 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4124
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /BBS/css/MyCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:00:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:11 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:39 +0900] "GET /BBS/images/cat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:39 +0900] "GET /BBS/images/cat2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:39 +0900] "GET /BBS/images/cat3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:01:39 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:02:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4067
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:09:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:09:11 +0900] "GET /BBS/images/mark.png HTTP/1.1" 200 83182
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:09:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:09:41 +0900] "GET /BBS/images/mark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:15:52 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:15:52 +0900] "GET /BBS/images/mark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:16:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:16:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:17:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:17:12 +0900] "GET /BBS/images/mark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:19:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [19/Mar/2019:15:40:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4067
