127.0.0.1 - - [06/Jul/2019:16:36:47 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/ HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/css/MyCss.css HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/images/cat1.jpg HTTP/1.1" 200 70141
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/images/cat2.jpg HTTP/1.1" 200 441031
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:04 +0900] "GET /BBS/images/cat3.jpg HTTP/1.1" 200 421972
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:05 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:37:05 +0900] "GET /BBS/images/background.jpg HTTP/1.1" 200 117703
